GENER00  1.00e+25  1.00e-06                                0.00
VERTICES
  l 751855.31 567507.08
  m 752610.01 566851.02
  n 753364.72 566194.96
  o 754119.43 565538.90
  p 754874.14 564882.84
 ak 752511.36 568261.79
 al 753266.07 567605.73
 am 754020.78 566949.67
 an 754775.49 566293.61
 ao 755530.20 565637.55
 ap 756284.91 564981.49
 bi 752412.71 569672.56
 bj 753167.42 569016.50
 bk 753922.13 568360.44
 bl 754676.84 567704.38
 bm 755431.55 567048.32
 bn 756186.26 566392.26
 bo 756940.97 565736.20
 bp 757695.68 565080.14
 cg 752314.06 571083.32
 ch 753068.77 570427.27
 ci 753823.48 569771.21
 cj 754578.19 569115.15
 ck 755332.90 568459.09
 cl 756087.61 567803.03
 cm 756842.32 567146.97
 cn 757597.03 566490.91
 co 758351.74 565834.85
 de 752438.45 572415.88
 df 752970.27 571928.41
 dg 753757.43 571240.40
 dh 754521.28 570564.22
 di 755274.63 569884.86
 dj 756012.23 569214.70
 dk 756743.42 568577.28
 dl 757467.25 567858.19
 dm 758271.03 567084.73
 dn 758987.31 566594.05
 do 759762.51 565933.50
 dp 760517.22 565277.44
 ec 752189.89 573888.89
 ed 753091.81 573137.74
 ee 753621.43 572674.65
 ef 754406.68 571995.15
 eg 755183.92 571305.83
 eh 755941.88 570617.00
 ei 756700.13 569912.27
 ej 757394.01 569307.19
 ek 758172.60 568635.37
 el 758998.03 567982.60
 em 759621.28 567339.13
 en 760418.57 566688.21
 eo 761173.28 566032.15
 ep 761927.99 565376.09
 fa 752018.11 575315.63
 fb 752822.84 574616.23
 fc 753722.93 573874.21
 fd 754264.31 573433.54
 fe 755062.35 572749.60
 ff 755852.78 572044.73
 fg 756614.38 571342.40
 fh 757274.76 570653.87
 fi 758089.93 570077.06
 fj 758854.76 569402.81
 fk 759620.08 568720.97
 fl 760254.34 568143.60
 fm 761074.63 567442.92
 fn 761829.34 566786.86
 fo 762584.05 566130.80
 fp 763338.76 565474.75
 fy 751919.46 576726.40
 fz 752674.17 576070.34
 ga 753476.61 575328.46
 gb 754289.75 574657.92
 gc 754968.28 574278.49
 gd 755725.65 573501.06
 ge 756529.25 572789.63
 gf 757313.07 572067.78
 gg 757985.69 571491.17
 gh 758759.98 570837.78
 gi 759525.40 570164.05
 gj 760300.04 569491.72
 gk 760961.76 568873.06
 gl 761730.69 568197.63
 gm 762485.40 567541.57
 gn 763240.10 566885.51
 go 763994.81 566229.45
 gp 764749.52 565573.40
 gq 765504.23 564917.34
 gw 751820.81 578137.17
 gx 752575.52 577481.11
 gy 753330.23 576825.05
 gz 754183.29 576036.33
 ha 754732.01 575369.76
 hb 755572.67 574899.74
 hc 756376.79 574228.44
 hd 757176.50 573524.21
 he 758005.58 572813.82
 hf 758653.60 572266.32
 hg 759423.87 571589.69
 hh 760188.55 570918.16
 hi 760953.57 570242.32
 hj 761703.84 569554.73
 hk 762386.74 568952.34
 hl 763141.45 568296.28
 hm 763896.16 567640.22
 hn 764650.87 566984.16
 ho 765405.58 566328.11
 hp 766160.29 565672.05
 hq 766915.00 565015.99
 hv 752476.87 578891.88
 hw 753231.58 578235.82
 hx 753986.29 577579.76
 hy 754899.02 576781.26
 hz 755439.43 576317.23
 ia 756232.49 575661.45
 ib 757031.24 574960.54
 ic 757826.98 574243.32
 id 758510.33 573560.51
 ie 759323.51 573002.50
 if 760080.28 572336.95
 ig 760847.98 571667.52
 ih 761620.10 570990.64
 ii 762399.03 570300.09
 ij 763042.80 569707.05
 ik 763797.51 569050.99
 il 764552.22 568394.93
 im 765306.93 567738.87
 in 766061.64 567082.81
 io 766816.35 566426.76
 ip 767571.06 565770.70
 it 752378.22 580302.65
 iu 753132.93 579646.59
 iv 753887.64 578990.53
 iw 754642.35 578334.47
 ix 755551.68 577539.10
 iy 756085.26 577081.46
 iz 756873.73 576402.92
 ja 757684.14 575692.58
 jb 758478.43 574967.59
 jc 759204.08 574459.24
 jd 759962.83 573744.55
 je 760730.08 573083.45
 jf 761501.12 572415.64
 jg 762278.53 571741.39
 jh 763046.34 571051.39
 ji 763698.86 570461.76
 jj 764453.57 569805.70
 jk 765208.28 569149.64
 jl 765962.99 568493.58
 jm 766717.70 567837.52
 jn 767472.41 567181.47
 jo 768227.12 566525.41
 jr 752279.57 581713.41
 js 753034.28 581057.36
 jt 753788.99 580401.30
 ju 754543.70 579745.24
 jv 755298.41 579089.18
 jw 756204.67 578291.56
 jx 756732.74 577829.32
 jy 757515.03 577157.64
 jz 758345.59 576442.39
 ka 759182.64 575700.52
 kb 759828.83 575150.29
 kc 760605.27 574494.30
 kd 761377.03 573832.16
 ke 762150.40 573161.69
 kf 762928.35 572483.96
 kg 763712.34 571791.70
 kh 764354.92 571216.47
 ki 765109.63 570560.41
 kj 765864.34 569904.35
 kk 766619.05 569248.29
 kl 767373.76 568592.23
 km 768128.47 567936.17
 kn 768883.18 567280.12
 kp 752180.92 583124.18
 kq 752935.63 582468.12
 kr 753690.34 581812.07
 ks 754445.05 581156.01
 kt 755199.76 580499.95
 ku 755954.47 579843.89
 kv 756860.17 579043.91
 kw 757387.39 578584.69
 kx 758161.94 577907.22
 ky 758989.84 577187.61
 kz 759836.36 576456.48
 la 760474.64 575909.98
 lb 761249.47 575245.47
 lc 762022.06 574577.95
 ld 762798.19 573903.94
 le 763578.36 573224.88
 lf 764369.85 572529.30
 lg 765010.98 571971.18
 lh 765765.69 571315.12
 li 766520.40 570659.06
 lj 767275.11 570003.00
 lk 768029.82 569346.94
 ll 768784.53 568690.88
 lm 769539.24 568034.83
 lo 752836.98 583878.89
 lp 753591.69 583222.83
 lq 754346.40 582566.77
 lr 755101.11 581910.72
 ls 755855.82 581254.66
 lt 756610.52 580598.60
 lu 757516.45 579797.87
 lv 758044.84 579335.55
 lw 758815.53 578650.75
 lx 759632.23 577920.46
 ly 760472.63 577206.29
 lz 761121.18 576667.14
 ma 761894.42 575990.45
 mb 762665.53 575319.43
 mc 763441.54 574649.68
 md 764226.31 573976.41
 me 765032.65 573287.12
 mf 765667.04 572725.89
 mg 766421.75 572069.83
 mh 767176.46 571413.77
 mi 767931.17 570757.71
 mj 768685.88 570101.65
 mk 769440.59 569445.59
 ml 770195.30 568789.54
 mn 753493.04 584633.60
 mo 754247.75 583977.54
 mp 755002.46 583321.48
 mq 755757.16 582665.43
 mr 756511.87 582009.37
 ms 757266.58 581353.31
 mt 758174.01 580550.59
 mu 758704.32 580085.40
 mv 759482.56 579396.49
 mw 760297.63 578655.81
 mx 760976.07 577955.58
 my 761781.05 577404.79
 mz 762543.86 576736.18
 na 763313.81 576067.61
 nb 764086.42 575398.11
 nc 764867.39 574727.01
 nd 765674.69 574038.20
 ne 766323.10 573480.60
 nf 767077.81 572824.54
 ng 767832.52 572168.48
 nh 768587.23 571512.42
 ni 769341.94 570856.36
 nj 770096.65 570200.30
 nk 770851.36 569544.24
 nl 753394.39 586044.37
 nm 754149.09 585388.31
 nn 754903.80 584732.25
 no 755658.51 584076.19
 np 756413.22 583420.13
 nq 757167.93 582764.08
 nr 757922.64 582108.02
 ns 758830.91 581303.96
 nt 759363.74 580840.75
 nu 760151.52 580144.83
 nv 760974.99 579408.20
 nw 761656.90 578808.72
 nx 762422.01 578150.31
 ny 763192.75 577484.34
 nz 763961.50 576816.89
 oa 764734.00 576150.05
 ob 765511.32 575481.71
 oc 766318.55 574796.10
 od 766979.16 574235.31
 oe 767733.87 573579.25
 of 768488.58 572923.19
 og 769243.29 572267.13
 oh 769998.00 571611.07
 oi 770752.71 570955.01
 oj 771507.42 570298.95
 ok 754050.44 586799.08
 ol 754805.15 586143.02
 om 755559.86 585486.96
 on 756314.57 584830.90
 oo 757069.28 584174.84
 op 757823.99 583518.79
 oq 758578.70 582862.73
 or 759487.46 582056.81
 os 760020.32 581589.53
 ot 760811.42 580889.58
 ou 761633.80 580156.99
 ov 762313.95 579570.57
 ow 763078.89 578909.90
 ox 763848.83 578238.95
 oy 764614.83 577570.30
 oz 765382.19 576899.47
 pa 766151.08 576232.01
 pb 766953.19 575559.89
 pc 767635.22 574990.02
 pd 768389.93 574333.96
 pe 769144.64 573677.90
 pf 769899.35 573021.84
 pg 770654.06 572365.78
 ph 771408.76 571709.72
 pi 772163.47 571053.66
 pj 754706.50 587553.79
 pk 755461.21 586897.73
 pl 756215.92 586241.67
 pm 756970.63 585585.61
 pn 757725.34 584929.55
 po 758480.05 584273.49
 pp 759234.76 583617.44
 pq 760145.88 582806.49
 pr 760677.95 582338.47
 ps 761472.14 581635.81
 pt 762285.53 580911.44
 pu 762970.28 580342.92
 pv 763743.18 579670.68
 pw 764509.65 578994.91
 px 765273.33 578322.94
 py 766038.43 577650.88
 pz 766799.29 576982.95
 qa 767560.93 576318.91
 qb 768291.28 575744.73
 qc 769045.99 575088.67
 qd 769800.70 574432.61
 qe 770555.40 573776.55
 qf 771310.11 573120.49
 qg 772064.82 572464.43
 qh 772819.53 571808.37
 qi 755362.56 588308.50
 qj 756117.27 587652.44
 qk 756871.98 586996.38
 ql 757626.69 586340.32
 qm 758381.40 585684.26
 qn 759136.11 585028.20
 qo 759890.82 584372.15
 qp 760801.19 583556.64
 qq 761334.89 583088.99
 qr 762136.27 582381.15
 qs 762958.71 581640.81
 qt 763636.65 581077.73
 qu 764404.35 580420.41
 qv 765171.10 579749.77
 qw 765936.95 579081.14
 qx 766702.27 578414.58
 qy 767465.48 577757.48
 qz 768216.62 577123.66
 ra 768947.33 576499.44
 rb 769702.04 575843.38
 rc 770456.75 575187.32
 rd 771211.46 574531.26
 re 771966.17 573875.20
 rf 772720.88 573219.14
 rg 773475.59 572563.08
 rh 756018.62 589063.21
 ri 756773.33 588407.15
 rj 757528.04 587751.09
 rk 758282.75 587095.03
 rl 759037.46 586438.97
 rm 759792.17 585782.91
 rn 760546.88 585126.86
 ro 761457.20 584309.18
 rp 761991.90 583839.45
 rq 762792.39 583136.40
 rr 763644.73 582391.51
 rs 764287.89 581842.86
 rt 765063.25 581176.03
 ru 765831.37 580509.91
 rv 766599.48 579844.50
 rw 767365.26 579182.37
 rx 768123.01 578529.25
 ry 768867.85 577890.73
 rz 769603.39 577254.15
 sa 770358.10 576598.09
 sb 771112.81 575942.03
 sc 771867.52 575285.97
 sd 772622.23 574629.91
 se 773376.94 573973.85
 sf 774131.65 573317.79
 sg 756674.68 589817.92
 sh 757429.39 589161.86
 si 758184.10 588505.80
 sj 758938.81 587849.74
 sk 759693.52 587193.68
 sl 760448.23 586537.62
 sm 761202.94 585881.56
 sn 762115.35 585061.67
 so 762648.38 584593.17
 sp 763445.39 583890.78
 sq 764291.62 583156.07
 sr 764939.03 582604.21
 ss 765717.39 581935.59
 st 766489.13 581272.21
 su 767258.83 580610.26
 sv 768027.32 579951.12
 sw 768786.53 579295.84
 sx 769526.58 578648.71
 sy 770259.45 578008.86
 sz 771014.16 577352.80
 ta 771768.87 576696.74
 tb 772523.58 576040.68
 tc 773278.29 575384.62
 td 774033.00 574728.56
 te 774787.71 574072.50
 tf 757330.74 590572.63
 tg 758085.45 589916.57
 th 758840.16 589260.51
 ti 759594.87 588604.45
 tj 760349.58 587948.39
 tk 761104.29 587292.33
 tl 761859.00 586636.27
 tm 762775.67 585819.06
 tn 763310.95 585351.02
 to 764108.29 584653.29
 tp 764944.66 583926.50
 tq 765598.17 583367.51
 tr 766372.62 582696.94
 ts 767142.81 582033.40
 tt 767913.15 581374.94
 tu 768684.22 580718.17
 tv 769453.37 580058.41
 tw 770195.94 579392.02
 tx 770915.51 578763.57
 ty 771670.22 578107.51
 tz 772424.93 577451.45
 ua 773179.64 576795.39
 ub 773934.35 576139.33
 uc 774689.06 575483.27
 ud 775443.77 574827.21
 ue 757986.80 591327.34
 uf 758741.51 590671.28
 ug 759496.22 590015.22
 uh 760250.93 589359.16
 ui 761005.64 588703.10
 uj 761760.35 588047.04
 uk 762515.06 587390.98
 ul 763433.79 586575.58
 um 763970.37 586107.54
 un 764769.25 585408.52
 uo 765597.67 584683.94
 up 766248.19 584119.46
 uq 767024.73 583453.57
 ur 767793.96 582793.43
 us 768562.54 582135.20
 ut 769331.91 581479.16
 uu 770110.19 580819.87
 uv 770902.12 580123.01
 uw 771571.57 579518.28
 ux 772326.28 578862.22
 uy 773080.99 578206.16
 uz 773835.70 577550.10
 va 774590.41 576894.04
 vb 775345.12 576237.98
 vc 776099.83 575581.92
 vd 758642.86 592082.05
 ve 759397.57 591425.99
 vf 760152.28 590769.93
 vg 760906.99 590113.87
 vh 761661.70 589457.81
 vi 762416.41 588801.75
 vj 763171.12 588145.69
 vk 764090.12 587329.60
 vl 764627.50 586861.01
 vm 765426.59 586162.01
 vn 766254.77 585437.58
 vo 766897.09 584877.76
 vp 767673.66 584210.76
 vq 768443.02 583549.86
 vr 769209.80 582888.81
 vs 769973.75 582228.79
 vt 770744.93 581559.91
 vu 771556.49 580839.90
 vv 772227.63 580272.99
 vw 772982.34 579616.93
 vx 773737.05 578960.87
 vy 774491.76 578304.81
 vz 775246.47 577648.75
 wa 776001.18 576992.69
 wb 776755.89 576336.63
 wc 759298.92 592836.76
 wd 760053.63 592180.70
 we 760808.34 591524.64
 wf 761563.05 590868.58
 wg 762317.75 590212.52
 wh 763072.46 589556.46
 wi 763827.17 588900.40
 wj 764746.52 588077.27
 wk 765279.55 587606.83
 wl 766077.38 586908.58
 wm 766914.89 586187.70
 wn 767552.18 585633.97
 wo 768324.92 584966.58
 wp 769092.40 584302.54
 wq 769858.69 583637.35
 wr 770621.62 582967.46
 ws 771388.79 582281.04
 wt 772178.08 581525.32
 wu 772883.69 581027.69
 wv 773638.40 580371.64
 ww 774393.11 579715.58
 wx 775147.82 579059.52
 wy 775902.53 578403.46
 wz 776657.24 577747.40
 xa 777411.95 577091.34
 xb 759954.98 593591.47
 xc 760709.69 592935.41
 xd 761464.39 592279.35
 xe 762219.10 591623.29
 xf 762973.81 590967.23
 xg 763728.52 590311.17
 xh 764483.23 589655.11
 xi 765405.02 588822.83
 xj 765935.02 588349.73
 xk 766717.70 587638.70
 xl 767515.28 586946.51
 xm 768212.03 586387.65
 xn 768977.46 585719.53
 xo 769744.15 585053.54
 xp 770511.29 584384.61
 xq 771279.24 583710.66
 xr 772054.08 583029.96
 xs 772849.27 582350.68
 xt 773539.75 581782.40
 xu 774294.46 581126.35
 xv 775049.17 580470.29
 xw 775803.88 579814.23
 xx 776558.59 579158.17
 xy 777313.30 578502.11
 xz 778068.01 577846.05
 yb 761365.74 593690.12
 yc 762120.45 593034.06
 yd 762875.16 592378.00
 ye 763629.87 591721.94
 yf 764384.58 591065.88
 yg 765139.29 590409.82
 yh 766068.54 589570.76
 yi 766599.96 589094.60
 yj 767395.37 588379.10
 yk 768085.77 587771.36
 yl 768857.16 587136.67
 ym 769630.45 586472.96
 yn 770398.31 585805.91
 yo 771167.10 585136.56
 yp 771937.79 584464.76
 yq 772714.82 583791.45
 yr 773497.60 583131.29
 ys 774195.81 582537.11
 yt 774950.52 581881.05
 yu 775705.23 581225.00
 yv 776459.94 580568.94
 yw 777214.65 579912.88
 yx 777969.36 579256.82
 yy 778724.06 578600.76
 za 762021.80 594444.83
 zb 762776.51 593788.77
 zc 763531.22 593132.71
 zd 764285.93 592476.65
 ze 765040.64 591820.59
 zf 765795.35 591164.53
 zg 766732.04 590321.58
 zh 767266.08 589850.41
 zi 768064.22 589151.80
 zj 768753.43 588557.56
 zk 769508.29 587902.04
 zl 770285.13 587229.01
 zm 771054.13 586559.83
 zn 771822.57 585890.47
 zo 772593.77 585219.85
 zp 773369.87 584538.19
 zq 774080.23 583959.48
 zr 774851.87 583291.82
 zs 775606.58 582635.76
 zt 776361.29 581979.71
 zu 777115.99 581323.65
 zv 777870.70 580667.59
 zw 778625.41 580011.53
 zx 779380.12 579355.47
 zz 762677.86 595199.54
aaa 763432.57 594543.48
aab 764187.28 593887.42
aac 764941.99 593231.36
aad 765696.70 592575.30
aae 766451.41 591919.24
aaf 767391.50 591080.44
aag 767931.11 590616.66
aah 768735.54 589923.99
aai 769416.86 589327.77
aaj 770175.17 588661.35
aak 770943.64 587984.91
aal 771711.52 587314.69
aam 772479.47 586645.51
aan 773250.32 585976.74
aao 774033.80 585307.16
aap 774695.72 584748.96
aaq 775507.93 584046.53
aar 776262.63 583390.47
aas 777017.34 582734.41
aat 777772.05 582078.36
aau 778526.76 581422.30
aav 779281.47 580766.24
aaw 780036.18 580110.18
aay 763333.92 595954.25
aaz 764088.63 595298.19
aba 764843.34 594642.13
abb 765598.05 593986.07
abc 766352.76 593330.01
abd 767107.47 592673.95
abe 768042.83 591839.55
abf 768584.15 591373.50
abg 769393.83 590676.36
abh 770076.45 590079.93
abi 770838.16 589409.30
abj 771601.94 588738.01
abk 772368.46 588069.43
abl 773136.41 587402.07
abm 773902.91 586733.51
abn 774683.69 586070.15
abo 775374.88 585512.03
abp 776163.98 584801.24
abq 776918.69 584145.18
abr 777673.40 583489.12
abs 778428.11 582833.07
abt 779182.82 582177.01
abu 779937.53 581520.95
aby 764744.69 596052.90
abz 765499.40 595396.84
aca 766254.11 594740.78
acb 767008.82 594084.72
acc 767763.53 593428.66
acd 768698.25 592595.43
ace 769235.90 592124.28
acf 770037.23 591417.84
acg 770721.72 590824.90
ach 771491.86 590156.64
aci 772257.17 589489.91
acj 773023.54 588825.24
ack 773793.26 588158.50
acl 774564.39 587490.43
acm 775345.18 586820.84
acn 776041.20 586254.19
aco 776820.04 585555.95
acp 777574.75 584899.89
acq 778329.46 584243.83
acr 779084.17 583587.78
acs 779838.88 582931.72
acy 766155.46 596151.55
acz 766910.17 595495.49
ada 767664.88 594839.43
adb 768419.59 594183.37
adc 769355.50 593352.45
add 769895.65 592883.54
ade 770694.94 592179.74
adf 771378.90 591583.89
adg 772145.95 590912.88
adh 772912.72 590245.69
adi 773677.57 589581.40
adj 774447.01 588917.08
adk 775212.03 588248.61
adl 776031.61 587679.90
adm 776688.00 586986.63
adn 777476.10 586310.66
ado 778230.81 585654.60
adp 778985.52 584998.54
adq 779740.23 584342.48
ady 767566.23 596250.20
adz 768320.94 595594.14
aea 769075.65 594938.08
aeb 770010.01 594114.11
aec 770557.62 593647.38
aed 771367.96 592948.31
aee 772053.32 592344.77
aef 772811.29 591670.47
aeg 773571.27 590998.57
aeh 774329.34 590335.68
aei 775097.38 589674.83
aej 775892.75 589006.58
aek 776588.72 588431.17
ael 777373.32 587687.03
aem 778132.16 587065.37
aen 778886.87 586409.31
aeo 779641.58 585753.25
aep 780396.29 585097.19
aey 768977.00 596348.85
aez 769731.71 595692.79
afa 770659.12 594875.18
afb 771206.83 594406.96
afc 772021.25 593701.14
afd 772730.56 593106.34
afe 773487.49 592427.27
aff 774235.79 591744.60
afg 774979.09 591084.91
afh 775738.07 590419.19
afi 776579.68 589837.61
afj 777261.89 589132.41
afk 778052.76 588274.36
afl 778788.22 587820.08
afm 779542.93 587164.02
afn 780297.64 586507.96
afy 770387.76 596447.50
afz 771262.74 595688.05
aga 772014.85 595261.28
agb 772665.61 594483.59
agc 773414.08 593841.27
agd 774241.35 593160.72
age 774907.99 592481.43
agf 775634.81 591830.77
agg 776400.61 591081.87
agh 777138.94 590540.01
agi 777934.82 589853.89
agj 778837.25 589324.92
agk 779444.28 588574.79
agl 780198.99 587918.73
agz 772553.24 595890.09
aha 773307.95 595234.03
ahb 774062.66 594577.97
ahc 774817.37 593921.91
ahd 775572.08 593265.85
ahe 776326.79 592609.80
ahf 777081.50 591953.74
ahg 777836.21 591297.68
ahh 778590.92 590641.62
ahi 779345.63 589985.56
ahj 780100.34 589329.50
ahz 773964.01 595988.74
aia 774718.72 595332.68
aib 775473.43 594676.62
aic 776228.14 594020.56
aid 776982.85 593364.50
aie 777737.56 592708.45
aif 778492.27 592052.39
aig 779246.98 591396.33
aih 780001.69 590740.27
aiz 775374.78 596087.39
aja 776129.49 595431.33
ajb 776884.20 594775.27
ajc 777638.91 594119.21
ajd 778393.62 593463.16
aje 779148.33 592807.10
ajf 779903.04 592151.04
ajz 776785.55 596186.04
aka 777540.26 595529.98
akb 778294.97 594873.92
akc 779049.68 594217.86
akd 779804.39 593561.81
akn 769841.64 588284.10
ako 771327.77 587649.49
akp 762464.15 582761.94
akq 767939.38 585299.32
akr 772385.10 583410.51
aks 776015.19 591489.15
akt 763316.51 582010.81
aku 768593.84 586052.74
akv 773172.86 582740.09
akw 776704.15 592281.77
akx 763965.35 581459.95
aky 769244.86 586806.32
akz 773867.78 582159.76
ala 777360.21 593036.47
alb 764734.51 580797.24
alc 774622.49 581503.70
ald 769897.82 587564.98
ale 778016.27 593791.19
alf 765501.32 580129.30
alg 770559.23 588321.71
alh 755808.91 566720.29
ali 766268.38 579462.23
alj 771219.71 589073.10
alk 756464.96 567475.00
all 756979.89 578277.79
alm 767033.71 578798.26
aln 771874.90 589822.78
alo 757035.10 568284.21
alp 757835.39 577533.88
